list_name	name	label	region	province	cat	dealer	dealer1	dealer2	dealer3	dealer4	dealer5	dealer6	dealer7	dealer8	dealer9
district	prvih	Preah Vihear		pvihea		pvh3									
district	banteayampil	Banteay Ampil		omeanc		smr5									
district	chongkal	Chong Kal		omeanc		smr5									
district	kgsr	Krong Samraong		omeanc		smr5	avg4								
channel_select	off_trade	Off-Trade													
channel_select	horeca	HORECA													
channel_select	wedding	Wedding													
sub_channel	wholesale	Wholesale													
sub_channel	drink_shop	Drink Shop													
sub_channel	retail	Retail													
category	Beer	Beer													
category	ED	ED													
category	MED	MED													
category	CSD	CSD													
category	SCSD	SCSD													
category	Isotonic	Isotonic													
category	RTD Tea	RTD Tea													
category	Water	Water													
price_source	company	Company													
price_source	wholesale	Wholesale													
type_select	ncp	NCP													
type_select	ord	ORD													
brand	beer_abc_can_330ml	ABC Can 330ml			Beer										
brand	beer_abc_pint_330ml	ABC Pint 330ml			Beer										
brand	beer_abc_extra_stout_can_330ml	ABC Extra Stout Can 330ml			Beer										
brand	beer_abc_extra_stout_pint_330ml	ABC Extra Stout Pint 330ml			Beer										
brand	beer_abc_smooth_stout_can_330ml	ABC Smooth Stout Can 330ml			Beer										
brand	beer_abc_smooth_stout_pint_330ml	ABC Smooth Stout Pint 330ml			Beer										
brand	beer_anchor_can_330ml	Anchor Can 330ml			Beer										
brand	beer_anchor_pint_330ml	Anchor Pint 330ml			Beer										
brand	beer_anchor_white_pint_330ml	Anchor White Pint 330ml			Beer										
brand	beer_anchor_white_can_330ml	Anchor White Can 330ml			Beer										
brand	beer_anchor_ultra_can_330ml	Anchor Ultra Can 330ml			Beer										
brand	beer_angkor_can_330ml	Angkor Can 330ml			Beer										
brand	beer_angkor_pint_330ml	Angkor Pint 330ml			Beer										
brand	beer_angkor_sky_can_330ml	Angkor Sky Can 330ml			Beer										
brand	beer_barrley_black_can_330ml	Barrley Black Can 330ml			Beer										
brand	beer_black_panther_can_330ml	Black Panther Can 330ml			Beer										
brand	beer_cambodia_can_330ml	Cambodia Beer Can 330ml			Beer										
brand	beer_cambodia_pint_330ml	Cambodia Beer Pint 330ml			Beer										
brand	beer_cambodia_lite_can_330ml	Cambodia Lite Beer Can 330ml			Beer										
brand	beer_cambodia_lite_pint_330ml	Cambodia Lite Beer Pint 330ml			Beer										
brand	beer_cambodia_premium_draft_pint_330ml	Cambodia Premium Draft Beer Pint 330ml			Beer										
brand	beer_cambodia_black_can_330ml	Cambodia Black Beer Can 330ml			Beer										
brand	beer_cambodia_black_pint_330ml	Cambodiia Black Beer Pint 330ml			Beer										
brand	beer_chang_can_330ml	Chang Can 330ml			Beer										
brand	beer_clasei_can_330ml	Clasei Can 330ml			Beer										
brand	beer_dragon_can_330ml	Dragon Can 330ml			Beer										
brand	beer_dragon_nitro_can_330ml	Dragon Nitro Can 330ml			Beer										
